"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","H","OPS","Bat","Fld","Pos","WPA","-WPA","playerid"
"1983","Kevin McReynolds","Padres","39","155","4","15","14","2",".121",".245",".221",".277",".343",".277","72","0.0","-4.9","2.6","0.3","23","31",".620","-4.9","3.0","-0.4","-0.27","-2.91","1008690"
"1974","Jim Lyttle","Expos","25","11","0","1","2","0",".000",".429",".333",".364",".333",".277","64","0.0","-0.4","2.8","0.3","28","3",".697","-0.4","3.0","-0.2","-0.16","-0.30","1007893"
"1970","Tom Egan","Angels","79","228","4","14","20","0",".086",".326",".238",".286",".324",".277","73","0.1","-7.2","2.8","0.3","24","50",".610","-7.3","-1.0","3.8","","","1003702"
"1978","Andres Mora","Orioles","76","246","8","21","14","0",".140",".234",".214",".258",".354",".277","74","-0.4","-7.5","2.0","0.2","23","49",".612","-7.1","5.0","-3.0","-0.49","-4.18","1009136"
"1983","Pete Rose","Phillies","151","555","0","52","45","7",".041",".256",".245",".316",".286",".277","68","-1.5","-21.6","-14.7","-1.9","42","121",".602","-20.2","-8.0","-6.7","0.04","-9.58","1011217"
"1978","Mike Jorgensen","Rangers","96","118","1","20","9","3",".062",".207",".196",".319",".258",".277","69","0.2","-3.8","-1.1","-0.1","29","19",".577","-4.1","1.0","-2.1","-0.08","-1.65","1006622"
"1977","Joel Youngblood","- - -","95","227","0","17","12","1",".072",".309",".244",".296",".316",".277","69","-1.7","-10.3","1.1","-0.2","25","51",".612","-8.6","1.0","0.1","-1.92","-5.24","1014383"
"1979","Duane Kuiper","Indians","140","528","0","46","39","4",".040",".270",".255",".313",".294",".277","65","-2.7","-25.0","2.3","-0.5","29","122",".608","-22.4","-1.0","3.3","-2.56","-10.32","1007207"
"1967","Jose Cardenal","Angels","108","405","6","40","27","10",".108",".268",".236",".268",".344",".277","83","0.4","-6.6","4.3","0.9","23","90",".612","-7.0","6.0","-1.7","","","1001937"
"1972","Clyde Mashore","Expos","93","202","3","23","23","6",".102",".272",".227",".278",".330",".277","70","0.9","-5.8","-1.2","-0.1","27","40",".608","-6.6","1.0","-2.2","","","1008210"
"1969","Marty Perez","Angels","13","15","0","3","0","0",".000",".250",".231",".333",".231",".277","73","0.0","-0.5","2.3","0.2","22","3",".564","-0.5","2.0","0.3","","","1010182"
