"Season","Name","Team","G","PA","HR","RBI","SB","AVG","OBP","SLG","wOBA","wRC+","BsR","WAR","Age","H","HR","BB","IBB","HBP","SF","SH","OPS","Bat","Fld","-WPA","+WPA","Clutch","AB","playerid"
"1985","Ted Power","Reds","64","1","0","0","0",".000","1.000",".000",".703","361","0.0","0.0","30","0","0","1","0","0","0","0","1.000","0.3","0.0","0.00","0.01","0.00","0","1010504"
"1985","Dan Spillner","White Sox","53","1","0","0","0",".000","1.000",".000",".703","343","0.0","0.0","33","0","0","1","0","0","0","0","1.000","0.3","0.0","0.00","0.00","0.00","0","1012342"
"1957","Sandy Consuegra","Giants","4","1","0","0","0",".000","1.000",".000",".703","339","0.0","0.0","36","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1002547"
"1986","Jeff Bittiger","Phillies","3","4","1","1","0",".333",".333","1.333",".698","353","0.0","0.2","24","1","1","0","0","0","0","1","1.667","1.2","0.0","-0.05","0.12","0.00","3","1001000"
"1972","Bob Gebhard","Twins","13","1","0","0","0",".000","1.000",".000",".694","372","0.0","0.0","29","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1004587"
"1961","Hal Bevan","Reds","3","3","1","1","0",".333",".333","1.333",".691","324","0.0","0.1","30","1","1","0","0","0","0","0","1.667","0.9","","","","","3","1000936"
"1964","Sam Jones","Orioles","7","1","0","0","0",".000","1.000",".000",".690","343","0.0","0.0","38","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1006590"
"1981","Bob Dernier","Phillies","10","4","0","0","2",".750",".750",".750",".688","346","0.0","0.1","24","3","0","0","0","0","0","0","1.500","1.1","0.0","-0.06","0.15","-0.04","4","1003220"
"1963","Jim Constable","Giants","4","1","0","0","0",".000","1.000",".000",".688","360","0.0","0.0","30","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1002546"
"1967","John Tsitouris","Reds","2","2","0","0","0",".000","1.000",".000",".687","339","0.0","0.1","31","0","0","1","0","0","0","1","1.000","0.5","0.0","","","","0","1013208"
"1966","Tom Cheney","Senators","3","1","0","0","0",".000","1.000",".000",".686","359","0.0","0.0","31","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1002177"
"1966","Bill Connors","Cubs","11","1","0","0","0",".000","1.000",".000",".686","333","0.0","0.0","24","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1002522"
"1968","Bob Heffner","Angels","7","1","0","0","0",".000","1.000",".000",".681","367","0.0","0.0","29","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1005578"
"1968","Frank Reberger","Cubs","3","1","0","0","0",".000","1.000",".000",".681","356","0.0","0.0","24","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1010745"
"1968","Les Rohr","Mets","2","1","0","0","0",".000","1.000",".000",".681","363","0.0","0.0","22","0","0","1","0","0","0","0","1.000","0.3","0.0","","","","0","1011148"
"1981","Dave Hostetler","Expos","5","6","1","1","0",".500",".500","1.000",".676","338","0.0","0.2","25","3","1","0","0","0","0","0","1.500","1.6","0.0","-0.12","0.07","-0.04","6","1006044"
"1968","Archie Reynolds","Cubs","7","2","0","0","0",".500",".500","1.000",".673","350","0.0","0.1","22","1","0","0","0","0","0","0","1.500","0.5","0.0","","","","2","1010861"
